<<<<<<< HEAD
vehicle_id,driver_id,date,route_type,total_stops,distance_km,delivery_time_hours,fuel_used_l,last_service_days,breakdown,maintenance_cost
V039,D061,2025-02-03,Urban,133,82.8082517557291,2.2158515897132522,7.51606290252669,11,0,85.46768848620246
V029,D067,2025-02-26,Urban,116,95.15500594837357,3.0663168934587097,10.451654741141173,44,0,45.32742344491462
V015,D006,2025-02-18,Suburban,170,157.31459751335007,5.928364859514824,16.09425222229008,58,0,91.77697934608173
V043,D009,2025-03-28,Rural,171,117.79514193914328,4.544112293662261,14.110355471687852,16,0,70.7115992113583
V008,D006,2025-02-22,Suburban,119,124.68680621743206,4.838445125476998,13.631983679039648,51,0,76.56437629632407
V021,D073,2025-01-23,Urban,113,68.36644894287099,2.226756807767928,6.144767998788511,55,0,32.728494390163995
V039,D032,2025-03-10,Rural,175,122.70290008557386,4.082127504481145,14.257249193351166,27,0,98.81009692779273
V019,D041,2025-02-22,Urban,158,149.8595394701095,4.189642079880439,14.152862342600043,51,1,491.3277888958261
V023,D076,2025-03-03,Rural,96,98.74872357334804,2.7322185371013457,8.46197371892259,11,0,85.74793985410919
V011,D008,2025-02-10,Rural,112,128.79841650103117,4.999393266426179,12.015509529830059,16,0,97.38512717669964
V011,D072,2025-02-26,Urban,126,128.93554688625755,4.553315488749124,11.466964785206049,23,0,77.04354028548917
V024,D050,2025-03-01,Suburban,131,131.40185064203246,4.5133673394952645,15.576531331220746,59,0,85.65180410807
V036,D062,2025-02-23,Urban,159,133.02014536185337,4.004920377816196,14.775210425461406,12,0,65.51145286169148
V040,D062,2025-03-11,Urban,172,103.3325527143659,3.8035036036290313,8.924785431224972,59,1,324.90538286782055
V024,D007,2025-02-26,Suburban,88,59.144408861240834,2.189794136336134,5.445866319581793,40,1,571.7324425000546
V003,D075,2025-01-10,Suburban,112,103.12206540760582,2.633564990231628,9.766997776015899,3,0,91.21916139769944
V022,D080,2025-02-09,Rural,139,139.7058324794246,3.7694106817428414,13.111680405885382,2,0,85.92864407575541
V002,D004,2025-01-07,Suburban,172,146.2806628981149,5.279018205674425,15.147940240226625,38,0,93.20830665471748
V024,D006,2025-02-07,Urban,156,161.99155547905733,5.208980057195787,19.807663061757502,48,0,100.6694287612701
V044,D058,2025-03-26,Rural,100,91.31173771993073,3.0101781629412496,8.198388827730978,52,0,76.14421334336956
V030,D022,2025-03-02,Rural,137,88.29728327785247,2.39514815971785,8.240643500403587,24,1,596.4165047982206
V038,D026,2025-03-25,Urban,164,117.29439909524616,3.5921263936213066,11.858438545941901,29,0,74.75315135444481
V002,D003,2025-01-03,Rural,148,163.39184222406215,6.070041744609846,14.086671301830657,47,0,116.09708905775432
V021,D041,2025-02-20,Urban,89,92.11034066974506,2.552602038625422,9.85702540480389,46,1,445.6183443239221
V033,D060,2025-03-27,Rural,85,96.63286133763725,3.1218900705103168,10.529567352596429,34,0,45.40274847714578
V012,D014,2025-02-16,Urban,92,61.689160151475704,2.131338122650475,5.368389642952654,20,0,104.66260242270882
V022,D075,2025-03-09,Urban,144,171.95522699074237,5.613493610378214,15.369680547049075,18,0,79.64288947259706
V044,D012,2025-03-17,Urban,99,71.83875880862605,2.2127144637217833,7.141087028259932,14,0,118.60148621764787
V025,D012,2025-02-07,Suburban,136,82.56123790499,2.7386462937760925,9.686944645910863,18,0,94.69371393061746
V049,D013,2025-02-05,Urban,125,149.80672042901654,5.232766904644322,16.907662163371878,2,0,37.595167191317195
V027,D025,2025-02-10,Urban,87,66.8720568202349,2.1587278226358135,6.293892792871947,1,0,65.5464384849314
V042,D045,2025-03-10,Suburban,89,89.07223876417069,3.522369109428861,9.33655122508732,20,0,76.55478624059398
V028,D019,2025-01-13,Rural,152,107.31342705287904,2.9330651675019386,9.458350194193946,34,0,105.51122428438217
V016,D055,2025-03-28,Urban,146,138.4280194206448,5.022026867781874,11.731367002439594,41,0,95.64109808967955
V015,D045,2025-02-27,Urban,90,102.8178892685462,4.007155989456966,9.161724414721917,41,1,546.8113217865605
V047,D008,2025-02-19,Urban,91,72.08189174159274,2.070992582963929,7.579444228953374,48,1,653.8213074379055
V044,D053,2025-01-30,Urban,89,89.19156232076878,2.4363260444120294,7.995840029363792,11,0,81.92198171085414
V003,D055,2025-03-03,Rural,104,74.12518394102119,1.9922141907552684,7.880823153866902,27,0,41.34473480571662
V037,D032,2025-01-25,Rural,128,124.78428662159808,3.851053350138418,14.395307273308225,23,1,316.44646553518555
V007,D051,2025-01-27,Suburban,128,102.63938701958477,3.6551807763337543,12.619225191415435,38,1,594.4514126284909
V021,D044,2025-02-20,Urban,168,122.08979246566554,3.3858890338958174,12.793827512358906,44,0,47.59350657271526
V009,D070,2025-03-19,Suburban,90,70.9118307379963,1.997758557085873,6.105595178278249,3,0,43.512046124702294
V039,D018,2025-02-26,Suburban,141,99.72995439575982,3.4756305270147934,11.13561319897493,12,0,35.23779931172584
V018,D022,2025-02-16,Rural,115,131.23221144081393,3.404109242659092,14.868731980236115,30,0,108.57923090480371
V004,D037,2025-02-08,Suburban,118,98.92083155125272,3.723647735900456,8.327171797946049,31,1,313.08486976976474
V025,D056,2025-01-16,Suburban,132,98.62612095396989,2.481764415455927,12.176039585314003,23,0,56.12885435402096
V014,D059,2025-01-22,Suburban,169,146.8685550790156,3.8747797331060365,13.18019026167001,1,0,48.56053236871399
V050,D003,2025-03-26,Urban,157,124.39450691317188,3.5220798865788594,13.396669777423641,41,0,72.78576346774946
V009,D028,2025-02-23,Rural,135,141.2979595588794,3.6154924834218654,17.3372754281166,20,0,76.28177711301352
V026,D074,2025-01-21,Suburban,80,94.61855577050372,2.6404195240509614,8.107004712158087,54,0,48.7453222762572
V002,D035,2025-03-13,Suburban,135,116.48072619250938,4.181402616296348,13.609836156716412,6,0,84.77133040772856
V020,D061,2025-01-16,Urban,83,92.67946331861756,2.9298957095420555,9.079886327717773,11,0,95.06999636343741
V028,D054,2025-02-28,Suburban,109,102.40744501079911,3.9277885445113365,11.258245810084958,35,0,63.645607736890675
V047,D063,2025-01-31,Suburban,91,63.185067314145144,2.0484795385945787,7.64880974397451,4,0,82.69065271716948
V007,D079,2025-02-11,Urban,114,115.63859555836378,3.2011529885602905,14.102801004319652,29,1,257.3496124946213
V044,D007,2025-03-15,Urban,156,141.65746893097673,4.5997687318851685,16.739975464719922,59,1,573.5602443508943
V008,D076,2025-02-01,Suburban,131,129.73767272761535,4.3311706465885615,15.658460313608131,10,0,95.700988989712
V047,D049,2025-02-28,Suburban,110,124.71936922972988,3.675748151343694,11.294760335650482,51,1,277.3924136885813
V035,D031,2025-02-03,Suburban,166,143.46728323734217,3.7672196862467566,14.430040437621646,29,0,88.39138040284507
V014,D058,2025-01-09,Urban,147,167.68386636777075,6.521175641018664,17.892828588535473,38,0,59.15064249939462
V017,D061,2025-03-22,Suburban,131,137.60258452253805,4.470220643994863,14.224730555586222,1,1,705.9800488830581
V036,D024,2025-01-11,Urban,159,142.01290992875974,5.187949418463733,12.12149987263216,40,0,70.98225491956119
V050,D020,2025-01-10,Urban,86,82.72626219995092,2.334900637856143,7.105231527978526,8,0,53.92906368465881
V040,D037,2025-03-27,Urban,101,80.33021663065209,3.021538187223997,7.395046613489306,57,1,375.570115073626
V004,D004,2025-01-17,Urban,172,204.70724133304148,5.853441613779437,17.740882231548106,38,1,393.9758366682221
V002,D020,2025-03-09,Urban,154,154.0632474658566,5.259439340423554,16.6041621006268,17,0,106.13386070933242
V006,D060,2025-02-17,Urban,135,84.55159505222701,3.0214531071327144,8.877332314048996,19,1,411.8913542714853
V042,D024,2025-02-21,Urban,176,140.09127324698972,3.587917495419148,13.39964612587964,33,0,50.936200140843724
V004,D050,2025-01-25,Urban,137,133.43644645499452,5.278785497950448,12.714888586962488,15,0,86.38438186516844
V029,D049,2025-01-21,Suburban,172,109.01359426888155,3.4534409865271702,10.981746522999474,45,0,112.90935900956569
V018,D051,2025-03-06,Urban,143,87.84926361518244,3.4689566845668476,9.148457335594877,31,0,46.496402720347945
V026,D036,2025-03-04,Urban,91,79.17132347821801,2.4546282458922972,6.628143247951374,21,0,102.27174440694299
V044,D066,2025-03-30,Rural,86,68.76681327214176,2.114879603173178,6.093920577913035,3,0,72.89464633387357
V034,D079,2025-02-20,Urban,134,115.63920808586653,3.877265786374877,11.872705185258283,2,0,101.95612535658826
V010,D034,2025-02-05,Suburban,141,106.82385401584843,3.959015819834525,9.792115707000582,35,0,75.49870347959617
